"Loading...","Carregando..."
"Please wait...","Por favor aguarde..."
"Added to cart","Adicionado ao carrinho"
"Error","Erro"
"Success","Sucesso"
"Update Cart","Atualizar Carrinho"
"Remove","Remover"
"Clear All","Limpar Tudo"
"Apply Filters","Aplicar Filtros"
"Show More","Mostrar Mais"
"Show Less","Mostrar Menos"
"Filter By","Filtrar Por"
"Sort By","Ordenar Por"
"Price","Preço"
"Position","Posição"
"Name","Nome"
"Relevance","Relevância"
"Best Seller","Mais Vendidos"
"New","Novo"
"Sale","Promoção"
