"Brand","Marca"
"Brands","Marcas"
"Shop by Brand","Comprar por Marca"
"All Brands","Todas as Marcas"
"Popular Brands","Marcas Populares"
"Featured Brands","Marcas em Destaque"
"View All Brands","Ver Todas as Marcas"
"Browse Brands","Navegar pelas Marcas"
"Brand List","Lista de Marcas"
"View Brand","Ver Marca"
"Products","Produtos"
"View All Products","Ver Todos os Produtos"
"Shop Now","Compre Agora"
"Search Brands","Buscar Marcas"
"Filter by Brand","Filtrar por Marca"
"No brands found","Nenhuma marca encontrada"
