"Most Viewed Products","Produtos Mais Visualizados"
"Most Viewed","Mais Visualizados"
"Top Viewed","Mais Visualizados"
"View All Most Viewed","Ver Todos os Mais Visualizados"
"Shop Now","Comprar Agora"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Add to Compare","Adicionar para Comparar"
"Quick View","Visualização Rápida"
"Add to Cart","Adicionar ao Carrinho"
"Out of Stock","Fora de Estoque"
"In Stock","Em Estoque"
"Special Price","Preço Especial"
"Regular Price","Preço Normal"
"As low as","A partir de"
"Show","Mostrar"
"Most Viewed Products per page","Produtos Mais Visualizados por página"
"Views","Visualizações"
