"Price Countdown","Contagem Regressiva de Preço"
"Countdown","Contagem Regressiva"
"Deal Ends In","Oferta Termina em"
"Offer Ends In","Oferta Termina em"
"Days","Dias"
"Hours","Horas"
"Minutes","Minutos"
"Seconds","Segundos"
"Day","Dia"
"Hour","Hora"
"Minute","Minuto"
"Second","Segundo"
"Expired","Expirado"
"Deal Expired","Oferta Expirada"
"Limited Time","Tempo Limitado"
"Hurry Up","Rápido"
"Time Remaining","Tempo Restante"
"Sale Ends","Promoção Termina"
"Shop Before It's Too Late","Compre Antes que Seja Tarde"
