"Super Deals","Super Ofertas"
"Hot Deals","Ofertas Quentes"
"Today's Deals","Ofertas de Hoje"
"Deal of the Day","Oferta do Dia"
"View All Deals","Ver Todas as Ofertas"
"Shop Now","Comprar Agora"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Add to Compare","Adicionar para Comparar"
"Quick View","Visualização Rápida"
"Add to Cart","Adicionar ao Carrinho"
"Out of Stock","Fora de Estoque"
"In Stock","Em Estoque"
"Special Price","Preço Especial"
"Regular Price","Preço Normal"
"Save","Economize"
"Discount","Desconto"
"% Off","% de Desconto"
"Hurry! Limited Stock","Rápido! Estoque Limitado"
"Ends In","Termina em"
"Days","Dias"
"Hours","Horas"
"Minutes","Minutos"
"Seconds","Segundos"
"Deal Expired","Oferta Expirada"
