"Theme Options","Opções do Tema"
"Theme Configuration","Configuração do Tema"
"General Settings","Configurações Gerais"
"Header Settings","Configurações do Cabeçalho"
"Footer Settings","Configurações do Rodapé"
"Layout","Layout"
"Design","Design"
"Colors","Cores"
"Typography","Tipografia"
"Custom CSS","CSS Personalizado"
"Custom JavaScript","JavaScript Personalizado"
"Logo","Logo"
"Favicon","Favicon"
"Enable","Ativar"
"Disable","Desativar"
"Yes","Sim"
"No","Não"
"Save Configuration","Salvar Configuração"
"Reset to Default","Redefinir para Padrão"
"Import","Importar"
"Export","Exportar"
